"Title","Categories: Sub","ASIN"
"The Ordinary Niacinamide 10% + Zinc 1%, Smoothing Serum for Blemish-Prone Skin, 1 Fl Oz","Serums, The Ordinary, New to Premium Skin Care: The Ordinary","B01MDTVZTZ"
"Super Strong Nail Glue for Press On Nails, Nail Tips & Acrylic Nails (8ml) NYK1 Nail Bond Brush On Nail Glue for Press Ons, Long Lasting Nail Glue for Acrylic Nails Fake Nails Tips Nail Glue","Nail Glue","B01I70RA8E"
"La Roche-Posay Toleriane Hydrating Gentle Facial Cleanser, Daily Face Wash with Ceramide and Niacinamide for Normal to Dry Sensitive Skin, Oil-Free, Fragrance Free","Washes, Face Care, La Roche-Posay, Cleansers, Facial Skin Care Sample Credit, La Roche-Posay Sampling, cleanse, Amazon.com: 15% off Professional Skin Care","B07WS6BTDK"
"Softsoap Liquid Hand Soap, Aquarium Series - 7.5 Fl Oz (Pack of 6)","Hand Wash","B079FW2RYB"
"Native Deodorant Contains Naturally Derived Ingredients, 72 Hour Odor Control | Deodorant for Women and Men, Aluminum Free with Baking Soda, Coconut Oil and Shea Butter | Unscented","Deodorant, Deodorants & Shave","B07G9Z5LQD"
"Kate Blanc Cosmetics Organic Castor Oil (4oz). 100% Pure, Cold Pressed, Hexane Free in a Glass Bottle. Stimulate Growth for Eyelashes, Eyebrows, Hair. Skin Moisturizer & Oil Cleanse with Starter Kit","Hair Treatment Oils","B01N7TBG6J"
"L'Oreal Paris Excellence Creme Permanent Hair Color, 6 Light Brown, 100 percent Gray Coverage Hair Dye, Pack of 2","Hair Color, LORCD LUSA USA CPA HOLISTIC BEAUTY, L'Oreal Haircare Lead Up DOTD 2021, Save 20% on L'Oreal Paris Hair Color","B07D9TJMGT"
"NYX PROFESSIONAL MAKEUP Micro Brow Pencil, Precise Eyebrow Pencil - Brunette","Eyebrow Color, Save up to 30% on Eye Products from NYX Professional Makeup, The Grande Cosmetics Store","B017OF39W4"
"FROWNIES Forehead and Between the Eyes Facial Patches - Hypoallergenic Patches to Smooth & Soften Forehead Horizontal & Eleven Lines - For Overnight Use, 144 count","Wrinkle Pads & Patches, Facial care, MasterCard Subscribe & Save Show All, 25% off beauty & body care, Bath & body care, Facial care, Whole Foods Market - Save 25% on beauty. Prices as as marked. While supplies last., 25% off beauty & body care","B00027DMSI"
"Aquaphor Healing Ointment Advanced Therapy Skin Protectant, Body Moisturizer for Dry Skin, Minor Cuts and Burns, Dry Cuticles, Cracked Heels, Hands and Lips, 7 Oz Tube","Creams, Shop Skin Care, Women's Beauty Box, Summer Beauty, Shop Nivea Same Day, Save 30% on Beauty Products during Cyber Week, Save 30% on Beauty Products, Save 25% on select Nivea, Aquaphor & Eucerin products","B0107QPFBU"
"Revlon ColorStay Pencil Eyeliner with Built-in Sharpener, Waterproof, Smudgeproof, Longwearing Eye Makeup with Ultra-Fine Tip, Jade, 0.028 oz","Eyeliner, Eyeliner, Customers' Most-Loved: Beauty, Event Deals, Most-loved beauty deals, Customers' Most-Loved Beauty","B00L5RNRDE"
"Degree Men Original Antiperspirant Deodorant Cool Rush Twin Pack 48-Hour Sweat & Odor Protection Antiperspirant For Men 2.7 oz","Antiperspirant Deodorant, Shop Personal Care, Men's Grooming, 0803 OIH - BPC","B00TPRG5D0"
"The Ordinary Glycolic Acid 7% Exfoliating Toner, Brightening and Smoothing Daily Toner for More Even-Looking Skin Tone, 8.1 Fl Oz","Facial Peels, Face Care, Customers' Most-Loved Beauty v2, Customers' Most-Loved Beauty_Temp, The Ordinary, New to Premium Skin Care: The Ordinary","B071914GGL"
"CHI 44 Iron Guard Thermal Protection Spray, Nourishing Formula Helps Resist Heat Damage to Hair & Tame Frizz, Clear, 8 Oz","Styling Treatments, Fall Trends, 90's Grunge, Prime Day: 30% off Luxury Beauty, 15% off luxury beauty, Save on select Luxury Beauty products, Spend $30, Get $5 off Luxury Beauty, Top Rated Luxury Hair Care, Shop Hair Care, Event Deals, Valentine's Day Beauty, 15% off Luxury Beauty New Customers, Premium Beauty, Prime Card Bonus - Eligible Luxury Beauty Products, Premium Beauty Best Sellers, Treat Yourself Luxury Beauty, Luxury & Professional Beauty, Top Rated Luxury Beauty, Shop Luxury Beauty Favorites, Lux-Pro-Beauty, Luxury Beauty Prime Offer, At-home beauty","B002RS6JSA"
"Ancient Minerals Magnesium Bath Flakes - Bathing Alternative to Epsom Salt - Soak in Natural Salts - High-Absorption Efficiency for Relaxation, Wellness & Muscle Relief (4 .4 lb)","Bath Salts, Mom's spa night","B06XXPLT2T"
"TruSkin Vitamin C Serum – Anti Aging Facial Serum with Vitamin C, Hyaluronic Acid, Vitamin E – Brightening Serum – Even Skin Tone, Improve Appearance of Dark Spots, Fine Lines & Wrinkles, 1 Fl Oz","Serums, New Year Beauty, New & Exciting, Black History Month: Featured Styles","B01M4MCUAF"
"e.l.f. Hydrating Camo Concealer, Lightweight, Full Coverage, Long Lasting, Conceals, Corrects, Covers, Hydrates, Highlights, Rich Chocolate, Satin Finish, 25 Shades, All-Day Wear, 0.20 Fl Oz","Concealers & Neutralizers, e.l.f., Foundation & Concealer, Foundation & Concealers","B085P2VVKV"
"LANEIGE Lip Glowy Balm Berry: Hydrate, Glossy, Lightweight, Moisturize & Tint with Shea Butter (Packaging May Vary)","Balms & Moisturizers, Fall Trends, Shop Skin Care, Summer Beauty, Lip Balms, LANEIGE, All Fashion Gift Guide, Gifts for Her, Beauty Best Sellers, Customers' Most-Loved: Beauty, All Dolled Up, Most-loved beauty deals, Easter Beauty, Moody Reds, Shop Premium Beauty, Customers' Most-Loved Beauty, Premium Fall Finds, Cleansers, Premium Beauty Best Sellers","B07DY2QRF6"
"CeraVe Hydrating Mineral Sunscreen SPF 30 with Sheer Tint, Tinted Mineral Sunscreen with Zinc Oxide & Titanium Dioxide, Blends Seamlessly For Healthy Glow, Medium, 1.7 Fluid Ounce","Facial Sunscreens, Shop Skin Care, Summer Beauty, Customers' Most-Loved Beauty_Temp, Shop CeraVe Same Day: Available in select metros, Beach Bum Summer Picks, Beauty Summer Sun Care, Sun Protection","B07YLKXV11"
"Beetles Gel Nail Polish Kit- 2 Pcs 15ml Black And White Gel Polish Black Winter Gel Nail Polish Black Nail Polish Soak Off Led Gel Polish Nail Art Manicure Salon Diy at Home","Nail Polish","B086TW5KLD"
"MRS. MEYER'S CLEAN DAY Hand Soap Refill, Made with Essential Oils, Biodegradable Formula, Basil, 33 fl. oz","Hand Wash, Amazon clearance on select everyday items, Freshen up for Spring, Buy 3, save 20% on select Spring Cleaning favorites, Conscious cleaning store, Shop Mrs. Meyer's, Bath & Body, Body care sale IA, Household 15%, 35% off Health & Household, Hand Soap & Sanitizer, Prime Day Savings on Everyday Essentials, SC Johnson Subscribe & Save, Hand Soap, Hand Soap and Sanitizers, +10% Off - Health & Household, Bath & Body, Customers' Most-Loved Health & Household, 35% off Household Essentials, +10% Off - Beauty & Personal Care, EF-Beauty-All, Self-Care Sale, Everyday Essentials","B0020VJTDG"
"BeautifyBeauties Spray Bottle For Hair – Continuous Mister Spray Bottle for Hairstyling, Cleaning, Plants, Pets, Barbers, Salons, Essential Oil Scents (Clear, 18.6oz/500ml) ""11"" H x 2.6"" L","Spray Bottles, Plant care","B07N7RLM7V"
"L'Oreal Paris Revitalift Triple Power Anti-Aging Face Moisturizer, Pro Retinol, Hyaluronic Acid & Vitamin C, Reduce Wrinkles 2.55 Oz","Face Moisturizers, Face Care, LORCD LUSA USA CPA HOLISTIC BEAUTY, New Year Beauty","B07TYY18QX"
